feature,rank
provider_mean_reimbursed,1
state,2
county,3
opannualdeductibleamt,4
op_reimb_deduct_ratio,5
age_at_claim,6
opannualreimbursementamt,7
ip_reimb_deduct_ratio,8
diagnosisgroupcode,9
inscclaimamtreimbursed,10
ipannualreimbursementamt,11
admit_los_days,12
opannualreimbursementamt_arcsinh,13
num_chronic_conditions,14
deductibleamtpaid,15
ipannualreimbursementamt_arcsinh,16
ipannualdeductibleamt,17
clmadmitdiagnosiscode,18
opannualdeductibleamt_log1p,19
los_days,20
opannualreimbursementamt_log1p,21
claimmonth,22
race,23
diagnosis_count,24
claimdow,25
chroniccond_stroke,26
chroniccond_depression,27
proc_diag_ratio,28
chroniccond_osteoporasis,29
inscclaimamtreimbursed_arcsinh,30
diagnosis_unique_count,31
chroniccond_alzheimer,32
gender,33
chroniccond_cancer,34
chroniccond_obstrpulmonary,35
noofmonths_partacov,36
chroniccond_heartfailure,37
deductibleamtpaid_arcsinh,38
ipannualreimbursementamt_log1p,39
chroniccond_rheumatoidarthritis,40
