dataset,column,count,mean,std,min,p50,p95,max
Beneficiary,Gender,10000,1.572,0.49478884385159694,1.0,2.0,2.0,2.0
Beneficiary,Race,10000,1.2554,0.7255141900748737,1.0,1.0,3.0,5.0
Beneficiary,State,10000,25.7273,15.259034527452908,1.0,25.0,50.0,54.0
Beneficiary,County,10000,376.5997,265.7189915303571,0.0,340.0,883.0499999999993,999.0
Beneficiary,NoOfMonths_PartACov,10000,11.8853,1.1556573497365037,0.0,12.0,12.0,12.0
Beneficiary,NoOfMonths_PartBCov,10000,11.913,0.9155495617387404,0.0,12.0,12.0,12.0
Beneficiary,ChronicCond_Alzheimer,10000,1.671,0.46984997605618756,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_Heartfailure,10000,1.5007,0.49999950999975984,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_KidneyDisease,10000,1.6867,0.46383521858522125,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_Cancer,10000,1.8773,0.3280925326794257,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_ObstrPulmonary,10000,1.7533,0.431090605325609,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_Depression,10000,1.6482,0.47753194657530496,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_Diabetes,10000,1.396,0.48906441293555597,1.0,1.0,2.0,2.0
Beneficiary,ChronicCond_IschemicHeart,10000,1.3185,0.46589456961849207,1.0,1.0,2.0,2.0
Beneficiary,ChronicCond_Osteoporasis,10000,1.7239,0.44706687419221747,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_rheumatoidarthritis,10000,1.7368,0.4403700262279439,1.0,2.0,2.0,2.0
Beneficiary,ChronicCond_stroke,10000,1.917,0.2758822212466762,1.0,2.0,2.0,2.0
Beneficiary,IPAnnualReimbursementAmt,10000,3697.406,9583.99732320309,0.0,0.0,21000.499999999993,132400.0
Beneficiary,IPAnnualDeductibleAmt,10000,401.0884,962.5447631073788,0.0,0.0,2136.0,36136.0
Beneficiary,OPAnnualReimbursementAmt,10000,1292.096,2606.2884580920813,-60.0,560.0,4360.0,94910.0
Beneficiary,OPAnnualDeductibleAmt,10000,383.8355,669.9066399430222,0.0,160.0,1360.0,11570.0
Inpatient,InscClaimAmtReimbursed,10000,10118.248,10517.27127017726,0.0,7000.0,30000.0,125000.0
Inpatient,DeductibleAmtPaid,9791,1068.0,0.0,1068.0,1068.0,1068.0,1068.0
Inpatient,ClmProcedureCode_1,5731,5818.127377421043,3046.9243044675163,11.0,5185.0,9904.0,9999.0
Inpatient,ClmProcedureCode_2,1297,4167.707787201233,2049.197858043968,42.0,4019.0,7994.0,9995.0
Inpatient,ClmProcedureCode_3,235,4402.659574468085,2255.938810817574,185.0,4019.0,9971.0,9999.0
Inpatient,ClmProcedureCode_4,27,3846.074074074074,1654.3377532778604,185.0,4019.0,6530.099999999999,7804.0
Inpatient,ClmProcedureCode_5,2,6347.5,3623.5,2724.0,6347.5,9608.65,9971.0
Outpatient,InscClaimAmtReimbursed,10000,283.248,615.9508994197508,0.0,80.0,1500.0,14100.0
Outpatient,ClmProcedureCode_1,2,8961.5,990.5,7971.0,8961.5,9852.95,9952.0
Outpatient,DeductibleAmtPaid,10000,2.888,15.314681060995033,0.0,0.0,0.0,200.0
